[] Kind: captions
[] Language: pt
[00:00:00,080] Fala<00:00:00.359><c> galera</c><00:00:00.799><c> eu</c><00:00:01.000><c> tô</c><00:00:01.199><c> aqui</c><00:00:01.319><c> na</c><00:00:01.640><c> Embraer</c><00:00:02.480><c> no</c>
[00:00:02,669] Fala galera eu tô aqui na Embraer no
[00:00:02,679] Fala galera eu tô aqui na Embraer no
[00:00:02,679] centro<00:00:03.040><c> de</c><00:00:03.159><c> serviços</c><00:00:03.840><c> em</c><00:00:04.080><c> Sorocaba</c><00:00:04.920><c> e</c><00:00:05.160><c> nós</c>
[00:00:05,309] centro de serviços em Sorocaba e nós
[00:00:05,319] centro de serviços em Sorocaba e nós
[00:00:05,319] vamos<00:00:05.560><c> fazer</c><00:00:05.759><c> um</c><00:00:05.920><c> voo</c><00:00:06.200><c> de</c><00:00:06.399><c> reposicionamento</c>
[00:00:07,150] vamos fazer um voo de reposicionamento
[00:00:07,160] vamos fazer um voo de reposicionamento
[00:00:07,160] da<00:00:07.439><c> aeronave</c><00:00:08.040><c> viemos</c><00:00:08.519><c> aqui</c><00:00:08.639><c> efetuar</c><00:00:09.080><c> alguns</c>
[00:00:09,310] da aeronave viemos aqui efetuar alguns
[00:00:09,320] da aeronave viemos aqui efetuar alguns
[00:00:09,320] serviços<00:00:09.639><c> no</c><00:00:09.840><c> felon</c><00:00:10.280><c> 300</c><00:00:10.960><c> e</c><00:00:11.120><c> nós</c><00:00:11.280><c> vamos</c><00:00:11.440><c> tirar</c>
[00:00:11,669] serviços no felon 300 e nós vamos tirar
[00:00:11,679] serviços no felon 300 e nós vamos tirar
[00:00:11,679] agora<00:00:11.880><c> a</c><00:00:12.080><c> aeronave</c><00:00:12.559><c> de</c><00:00:12.799><c> Sorocaba</c><00:00:13.799><c> e</c><00:00:14.000><c> vamos</c>
[00:00:14,230] agora a aeronave de Sorocaba e vamos
[00:00:14,240] agora a aeronave de Sorocaba e vamos
[00:00:14,240] levar<00:00:14.559><c> para</c><00:00:14.839><c> Guarulhos</c><00:00:15.519><c> aonde</c><00:00:16.119><c> iremos</c>
[00:00:16,830] levar para Guarulhos aonde iremos
[00:00:16,840] levar para Guarulhos aonde iremos
[00:00:16,840] embarcar<00:00:17.320><c> os</c><00:00:17.520><c> nossos</c><00:00:17.960><c> passageiros</c><00:00:18.680><c> então</c>
[00:00:18,830] embarcar os nossos passageiros então
[00:00:18,840] embarcar os nossos passageiros então
[00:00:18,840] vocês<00:00:19.080><c> vão</c><00:00:19.279><c> acompanhar</c><00:00:19.760><c> esse</c><00:00:19.960><c> voo</c><00:00:20.359><c> que</c><00:00:20.480><c> é</c><00:00:20.600><c> um</c>
[00:00:20,710] vocês vão acompanhar esse voo que é um
[00:00:20,720] vocês vão acompanhar esse voo que é um
[00:00:20,720] voo<00:00:20.960><c> bem</c><00:00:21.119><c> interessante</c><00:00:21.880><c> é</c><00:00:22.080><c> um</c><00:00:22.199><c> voo</c>
[00:00:22,470] voo bem interessante é um voo
[00:00:22,480] voo bem interessante é um voo
[00:00:22,480] extremamente<00:00:23.119><c> curto</c><00:00:23.640><c> mas</c><00:00:24.160><c> devido</c><00:00:24.480><c> ao</c><00:00:24.640><c> tráfego</c>
[00:00:25,070] extremamente curto mas devido ao tráfego
[00:00:25,080] extremamente curto mas devido ao tráfego
[00:00:25,080] aéreo<00:00:25.400><c> de</c><00:00:25.439><c> todo</c><00:00:25.640><c> o</c><00:00:25.720><c> terminal</c><00:00:26.080><c> de</c><00:00:26.160><c> São</c><00:00:26.279><c> Paulo</c>
[00:00:26,750] aéreo de todo o terminal de São Paulo
[00:00:26,760] aéreo de todo o terminal de São Paulo
[00:00:26,760] ele<00:00:27.160><c> pode</c><00:00:27.519><c> se</c><00:00:27.640><c> tornar</c><00:00:27.920><c> um</c><00:00:28.080><c> voo</c><00:00:28.640><c> mais</c><00:00:28.880><c> longo</c>
[00:00:29,189] ele pode se tornar um voo mais longo
[00:00:29,199] ele pode se tornar um voo mais longo
[00:00:29,199] então<00:00:29.439><c> é</c><00:00:29.599><c> um</c><00:00:29.720><c> voo</c><00:00:30.039><c> muito</c><00:00:30.240><c> interessante</c><00:00:30.679><c> para</c>
[00:00:30,870] então é um voo muito interessante para
[00:00:30,880] então é um voo muito interessante para
[00:00:30,880] vocês<00:00:31.160><c> acompanharem</c><00:00:31.720><c> aqui</c><00:00:31.840><c> no</c><00:00:31.960><c> canal</c><00:00:32.599><c> esse</c>
[00:00:32,990] vocês acompanharem aqui no canal esse
[00:00:33,000] vocês acompanharem aqui no canal esse
